⚛️BesTv央视,#genre#
CCTV1,http://192.168.10.1:5678/bestv.php?id=cctv1hd8m/8000000/mnf.m3u8
CCTV2,http://192.168.10.1:5678/bestv.php?id=cctv2hd8m/8000000/mnf.m3u8
CCTV3,http://192.168.10.1:5678/bestv.php?id=cctv38m/8000000/mnf.m3u8
CCTV4,http://192.168.10.1:5678/bestv.php?id=cctv4hd8m/8000000/mnf.m3u8
CCTV4K,http://192.168.10.1:5678/bestv.php?id=cctv4k/15000000/mnf.m3u8
CCTV5,http://192.168.10.1:5678/bestv.php?id=cctv58m/8000000/mnf.m3u8
CCTV5+,http://192.168.10.1:5678/bestv.php?id=cctv5phd8m/8000000/mnf.m3u8
CCTV6,http://192.168.10.1:5678/bestv.php?id=cctv6hd8m/8000000/mnf.m3u8
CCTV7,http://192.168.10.1:5678/bestv.php?id=cctv7hd8m/8000000/mnf.m3u8
CCTV8,http://192.168.10.1:5678/bestv.php?id=cctv8hd8m/8000000/mnf.m3u8
CCTV9,http://192.168.10.1:5678/bestv.php?id=cctv9hd8m/8000000/mnf.m3u8
CCTV10,http://192.168.10.1:5678/bestv.php?id=cctv10hd8m/8000000/mnf.m3u8
CCTV11,http://192.168.10.1:5678/bestv.php?id=cctv11hd8m/8000000/mnf.m3u8
CCTV12,http://192.168.10.1:5678/bestv.php?id=cctv12hd8m/8000000/mnf.m3u8
CCTV13,http://192.168.10.1:5678/bestv.php?id=cctv13xwhd8m/8000000/mnf.m3u8
CCTV14,http://192.168.10.1:5678/bestv.php?id=cctvsehd8m/8000000/mnf.m3u8
CCTV15,http://192.168.10.1:5678/bestv.php?id=cctv15hd8m/8000000/mnf.m3u8
CCTV16,http://192.168.10.1:5678/bestv.php?id=cctv16hd4k/15000000/mnf.m3u8
CCTV16,http://192.168.10.1:5678/bestv.php?id=cctv16hd8m/8000000/mnf.m3u8
CCTV17,http://192.168.10.1:5678/bestv.php?id=cctv17hd8m/8000000/mnf.m3u8

⚛️BesTv卫视,#genre#
江苏卫视,http://192.168.10.1:5678/bestv.php?id=jswshd8m/8000000/mnf.m3u8
广西卫视,http://192.168.10.1:5678/bestv.php?id=gxwshd8m/8000000/mnf.m3u8
四川卫视,http://192.168.10.1:5678/bestv.php?id=scwshd/8000000/mnf.m3u8
湖南卫视,http://192.168.10.1:5678/bestv.php?id=hunanwshd8m/8000000/mnf.m3u8
浙江卫视,http://192.168.10.1:5678/bestv.php?id=zjwshd8m/8000000/mnf.m3u8
东方卫视,http://192.168.10.1:5678/bestv.php?id=dfwshd8m/8000000/mnf.m3u8
北京卫视,http://192.168.10.1:5678/bestv.php?id=bjwshd8m/8000000/mnf.m3u8
天津卫视,http://192.168.10.1:5678/bestv.php?id=tjwshd8m/8000000/mnf.m3u8
辽宁卫视,http://192.168.10.1:5678/bestv.php?id=lnwshd8m/8000000/mnf.m3u8
安徽卫视,http://192.168.10.1:5678/bestv.php?id=ahwshd8m/8000000/mnf.m3u8
黑龙江卫视,http://192.168.10.1:5678/bestv.php?id=hljwshd8m/8000000/mnf.m3u8
广东卫视,http://192.168.10.1:5678/bestv.php?id=gdwshd8m/8000000/mnf.m3u8
深圳卫视,http://192.168.10.1:5678/bestv.php?id=szwshd8m/8000000/mnf.m3u8
湖北卫视,http://192.168.10.1:5678/bestv.php?id=hubeiws8m/8000000/mnf.m3u8
吉林卫视,http://192.168.10.1:5678/bestv.php?id=jlwshd8m/8000000/mnf.m3u8
山东卫视,http://192.168.10.1:5678/bestv.php?id=sdws8m/8000000/mnf.m3u8
江西卫视,http://192.168.10.1:5678/bestv.php?id=jxws8m/8000000/mnf.m3u8
河南卫视,http://192.168.10.1:5678/bestv.php?id=hnwshd8m/8000000/mnf.m3u8
河北卫视,http://192.168.10.1:5678/bestv.php?id=hbwshd8m/8000000/mnf.m3u8
甘肃卫视,http://192.168.10.1:5678/bestv.php?id=gswshd8m/8000000/mnf.m3u8
重庆卫视,http://192.168.10.1:5678/bestv.php?id=cqws8m/8000000/mnf.m3u8
东南卫视,http://192.168.10.1:5678/bestv.php?id=dnwshd8m/8000000/mnf.m3u8
云南卫视,http://192.168.10.1:5678/bestv.php?id=ynwshd8m/8000000/mnf.m3u8
贵州卫视,http://192.168.10.1:5678/bestv.php?id=gzwshd8m/8000000/mnf.m3u8
海南卫视,http://192.168.10.1:5678/bestv.php?id=hainanwshd8m/8000000/mnf.m3u8

⚛️BesTv剧场,#genre#
欢笑剧场,http://192.168.10.1:5678/bestv.php?id=hxjc4k/15000000/mnf.m3u8
欢笑剧场,http://192.168.10.1:5678/bestv.php?id=hxjc8m/8000000/mnf.m3u8
劲爆体育,http://192.168.10.1:5678/bestv.php?id=jbtyhd8m/8000000/mnf.m3u8
快乐垂钓,http://192.168.10.1:5678/bestv.php?id=klcd8m/8000000/mnf.m3u8
金鹰纪实,http://192.168.10.1:5678/bestv.php?id=jyjs8m/8000000/mnf.m3u8
戏曲精选,http://192.168.10.1:5678/bestv.php?id=xqjx8m/8000000/mnf.m3u8
第一财经,http://192.168.10.1:5678/bestv.php?id=dycjhd8m/8000000/mnf.m3u8
上视新闻,http://192.168.10.1:5678/bestv.php?id=xwzhhd8m/8000000/mnf.m3u8
上海都市频道,http://192.168.10.1:5678/bestv.php?id=dshd8m/8000000/mnf.m3u8
上海纪实,http://192.168.10.1:5678/bestv.php?id=jspdhd/4000000
东方影视,http://192.168.10.1:5678/bestv.php?id=dfyshd8m/8000000/mnf.m3u8
五星体育频道,http://192.168.10.1:5678/bestv.php?id=wxtyhd8m/8000000/mnf.m3u8
上视外语频道,http://192.168.10.1:5678/bestv.php?id=icshd8m/8000000/mnf.m3u8
七彩戏剧,http://192.168.10.1:5678/bestv.php?id=qcxjhd8m/8000000/mnf.m3u8
上海教育,http://192.168.10.1:5678/bestv.php?id=setvhd/8000000/mnf.m3u8
全纪实,http://192.168.10.1:5678/bestv.php?id=qjshd8m/8000000/mnf.m3u8
生活时尚,http://192.168.10.1:5678/bestv.php?id=shss8m/8000000/mnf.m3u8
新视觉,http://192.168.10.1:5678/bestv.php?id=xsjhd8m/8000000/mnf.m3u8
游戏风云,http://192.168.10.1:5678/bestv.php?id=yxfy8m/8000000/mnf.m3u8
热门综艺,http://192.168.10.1:5678/bestv.php?id=rmzy8m/8000000/mnf.m3u8
超级体育,http://192.168.10.1:5678/bestv.php?id=qcsj8m/8000000/mnf.m3u8
健康养生,http://192.168.10.1:5678/bestv.php?id=jkys8m/8000000/mnf.m3u8
百变课堂,http://192.168.10.1:5678/bestv.php?id=bbkt8m/8000000/mnf.m3u8
看天下精选,http://192.168.10.1:5678/bestv.php?id=ktxjx8m/8000000/mnf.m3u8
华语影院,http://192.168.10.1:5678/bestv.php?id=hyyy8m/8000000/mnf.m3u8
电竞天堂,http://192.168.10.1:5678/bestv.php?id=djtt8m/8000000/mnf.m3u8
青春动漫,http://192.168.10.1:5678/bestv.php?id=qcdm8m/8000000/mnf.m3u8
宝宝动画,http://192.168.10.1:5678/bestv.php?id=bbdh8m/8000000/mnf.m3u8
星光影院,http://192.168.10.1:5678/bestv.php?id=xgyy8m/8000000/mnf.m3u8
谍战剧场,http://192.168.10.1:5678/bestv.php?id=dzjc8m/8000000/mnf.m3u8
全球大片,http://192.168.10.1:5678/bestv.php?id=qqdp8m/8000000/mnf.m3u8
热门剧场,http://192.168.10.1:5678/bestv.php?id=rmjc8m/8000000/mnf.m3u8
陶瓷高清,http://192.168.10.1:5678/bestv.php?id=taocihd/8000000/mnf.m3u8
中国教育1台,http://192.168.10.1:5678/bestv.php?id=zgjy1t8m/8000000/mnf.m3u8
中国教育4台,http://192.168.10.1:5678/bestv.php?id=zgjy4hd8m/8000000/mnf.m3u8
卡酷动画,http://192.168.10.1:5678/bestv.php?id=kkse8m/8000000/mnf.m3u8
纪实科教,http://192.168.10.1:5678/bestv.php?id=dajs8m/8000000/mnf.m3u8
茶频道,http://192.168.10.1:5678/bestv.php?id=cpdhdavs8m/8000000/mnf.m3u8
足球高清,http://192.168.10.1:5678/bestv.php?id=zqpd8m/8000000/mnf.m3u8
哈哈炫动,http://192.168.10.1:5678/bestv.php?id=hhxd8m/8000000/mnf.m3u8
东方财经,http://192.168.10.1:5678/bestv.php?id=dfcjhd8m/8000000/mnf.m3u8
都市剧场,http://192.168.10.1:5678/bestv.php?id=dsjc8m/8000000/mnf.m3u8
动漫秀场,http://192.168.10.1:5678/bestv.php?id=dmxc8m/8000000/mnf.m3u8
法治天地,http://192.168.10.1:5678/bestv.php?id=fztd8m/8000000/mnf.m3u8
金色学堂,http://192.168.10.1:5678/bestv.php?id=jingsepd8m/8000000/mnf.m3u8
魅力足球,http://192.168.10.1:5678/bestv.php?id=mlyyhd8m/8000000/mnf.m3u8


⚛️央视频道,#genre#
CCTV1,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV2,http://39.184.224.99:9080/newlive/live/hls/2/live.m3u8
CCTV3,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV4,http://39.184.224.99:9080/newlive/live/hls/4/live.m3u8
CCTV5,http://39.184.224.99:9080/newlive/live/hls/5/live.m3u8
CCTV6,http://39.184.224.99:9080/newlive/live/hls/6/live.m3u8
CCTV7,http://39.184.224.99:9080/newlive/live/hls/7/live.m3u8
CCTV8,http://39.184.224.99:9080/newlive/live/hls/8/live.m3u8
CCTV9,http://39.184.224.99:9080/newlive/live/hls/9/live.m3u8
CCTV10,http://39.184.224.99:9080/newlive/live/hls/10/live.m3u8
CCTV11,http://39.184.224.99:9080/newlive/live/hls/11/live.m3u8
CCTV12,http://39.184.224.99:9080/newlive/live/hls/12/live.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV13,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8
CCTV14,http://39.184.224.99:9080/newlive/live/hls/14/live.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV16,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv16/1.m3u8
CCTV16,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV17,http://39.184.224.99:9080/newlive/live/hls/17/live.m3u8
